Item Number,Title
1,Llama3.np: pure NumPy implementation of Llama3 (github.com/likejazz)
2,Egypt's Pyramids May Have Been Built on a Long-Lost Branch of the Nile (nature.com)
3,F* – A Proof-Oriented Programming Language (fstar-lang.org)
4,The spy who flunked it: Kurt Gödel's forgotten part in the atom-bomb story (nature.com)
5,"Sprint, T-Mobile Merger Killed Wireless Price Competition in U.S. (techdirt.com)"
6,What's New in Neovim 0.10 (gpanders.com)
7,"Some notes on Rust, mutable aliasing and formal verification (graydon2.dreamwidth.org)"
8,D3 in Depth (d3indepth.com)
9,Things I won't work with: the higher states of bromine (2019) (blogs.sciencemag.org)
10,Promoted.ai (YC W21) Is Hiring a Apache Flink Expert Staff Engineer (ycombinator.com)
